CustID,GENDER,MARITAL_STATUS,BIRTH_DATE,CUSTOMER_SINCE,CUSTOMER_AGE,MoB,CUST_DELETED_DATE,attrition,Time2Event
10166,M     ,U             ,6/1/1947,7/3/2012,33.5,1.24623803,,0,731
10455,F     ,M             ,8/1/1947,3/28/2012,33.5,1.378932969,5/3/2013,1,122
10355,F     ,M             ,8/1/1947,8/2/2007,33.5,3.704514364,,0,731
11542,M     ,M             ,8/1/1947,4/10/2001,33.5,6.857729138,,0,731
11448,M     ,M             ,9/1/1947,4/21/1986,33.5,14.3378933,,0,731
10415,F     ,M             ,10/1/1947,6/11/1976,33.5,19.26402189,,0,731
11807,M     ,M             ,10/1/1947,1/12/1990,33.5,12.4746922,,0,731
11084,F     ,P             ,11/1/1947,11/21/2000,33.5,7.049247606,,0,731
10436,M     ,U             ,12/1/1947,1/17/2011,33.5,1.975376197,7/1/2013,1,181
10958,F     ,M             ,12/1/1947,7/25/2012,33.5,1.216142271,9/2/2013,1,244
11489,F     ,U             ,12/1/1947,6/23/2010,33.5,2.259917921,4/4/2014,1,458
11125,F     ,M             ,12/1/1947,11/27/2008,33.5,3.04377565,,0,731
11579,F     ,M             ,12/1/1947,1/12/1982,33.5,16.47195622,,0,731
11872,F     ,S             ,12/1/1947,1/18/2010,33.5,2.473324213,,0,731
11287,F     ,U             ,1/1/1948,12/6/2011,33,1.533515732,,0,731
11313,M     ,S             ,1/1/1948,2/10/2010,33,2.441860465,,0,731
10375,M     ,M             ,2/1/1948,5/31/2006,33,4.29001368,,0,731
10554,M     ,M             ,2/1/1948,7/30/1986,33,14.20109439,,0,731
10538,M     ,S             ,3/1/1948,2/11/2002,33,6.437756498,,0,731
11045,M     ,M             ,3/1/1948,11/9/1993,33,10.56361149,,0,731
10816,F     ,M             ,4/1/1948,2/25/1997,33,8.916552668,,0,731
11653,F     ,M             ,5/1/1948,4/27/2006,33,4.336525308,12/1/2014,1,699
11158,M     ,S             ,5/1/1948,6/1/1978,33,18.27906977,,0,731
11680,M     ,M             ,6/1/1948,12/16/1998,33,8.01504788,,0,731
10517,F     ,M             ,7/1/1948,11/4/2011,33,1.577291382,1/4/2013,1,3
10404,F     ,S             ,7/1/1948,10/15/2012,33,1.103967168,12/2/2013,1,335
11181,M     ,M             ,8/1/1948,12/11/2012,33,1.025991792,1/4/2013,1,3
11839,M     ,M             ,8/1/1948,1/1/1979,33,17.98632011,3/3/2014,1,426
10014,M     ,M             ,8/1/1948,6/22/2001,33,6.757865937,,0,731
11480,F     ,M             ,8/1/1948,11/3/2006,33,4.076607387,,0,731
10228,M     ,U             ,9/1/1948,1/23/2012,33,1.467852257,3/1/2013,1,59
11795,F     ,M             ,10/1/1948,9/3/1981,33,16.65116279,,0,731
10312,F     ,M             ,12/1/1948,11/3/2010,33,2.077975376,1/4/2013,1,3
10951,M     ,P             ,12/1/1948,6/14/1983,33,15.76333789,,0,731
10208,F     ,M             ,1/1/1949,2/12/2010,32.5,2.439124487,,0,731
11400,M     ,M             ,1/1/1949,11/16/1983,33,15.55129959,,0,731
10254,F     ,M             ,2/1/1949,2/1/1949,32.5,32.93296854,11/1/2013,1,304
10606,F     ,M             ,2/1/1949,6/15/1995,32.5,9.766073871,,0,731
10927,M     ,M             ,3/1/1949,10/18/2012,32.5,1.099863201,12/2/2013,1,335
11191,M     ,M             ,4/1/1949,5/31/1988,32.5,13.28317373,,0,731
11546,F     ,M             ,4/1/1949,10/20/1997,32.5,8.592339261,,0,731
11020,M     ,M             ,5/1/1949,11/26/1985,32.5,14.5376197,,0,731
11503,M     ,F             ,5/1/1949,10/8/1998,32.5,8.109439124,,0,731
11402,M     ,S             ,6/1/1949,2/8/2012,32.5,1.445964432,4/2/2013,1,91
10441,M     ,M             ,6/1/1949,1/5/2004,32.5,5.489740082,,0,731
10082,F     ,M             ,7/1/1949,5/15/2001,32.5,6.809849521,,0,731
